dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett1/W/short,VISIT-2.0,1171929.571,1171929.571,857.0623605,1.528078899,0.694047587,0.510437557,8.235015663,1082.55696,0.430775253,0.341045569,0.255243987,Energy,7
ett2/15T/long,VISIT-2.0,16.84720734,16.84720734,2.730451389,1.125525399,0.168943207,0.215167798,8.476611894,4.104534973,0.218738084,0.145510687,0.117276906,Energy,7
ett2/15T/medium,VISIT-2.0,16.05315724,16.05315724,2.520723121,1.031853272,0.153079168,0.190624961,7.845025689,4.006639145,0.213521038,0.134333889,0.107756975,Energy,7
ett2/15T/short,VISIT-2.0,9.853226144,9.853226144,1.954228138,0.834325485,0.11899748,0.140002423,6.835774328,3.138984891,0.14901878,0.092774162,0.075060719,Energy,7
ett2/D/short,VISIT-2.0,144839.1365,144839.1365,233.8390873,1.552761636,0.358221532,0.161783055,12.9200394,380.5773726,0.217814447,0.133832264,0.108687388,Energy,7
ett2/H/long,VISIT-2.0,304.8348214,304.8348214,11.11452443,1.199835422,0.204502339,0.221790681,8.425253141,17.45951951,0.239094682,0.152204858,0.12090013,Energy,7
ett2/H/medium,VISIT-2.0,316.8662202,316.8662202,11.58636184,1.231517736,0.202281575,0.216162436,8.406477824,17.80073651,0.239876357,0.156133667,0.12375938,Energy,7
ett2/H/short,VISIT-2.0,120.3081194,120.3081194,6.77662586,0.776269351,0.127625703,0.115720676,5.973188854,10.9685058,0.139111172,0.085946471,0.069206247,Energy,7
ett2/W/short,VISIT-2.0,4671782,4671782,1527.943359,1.047728287,0.18309021,0.210564205,9.409364511,2161.430545,0.181310852,0.128170999,0.10355989,Energy,7
hierarchical_sales/D/short,VISIT-2.0,29.27929671,29.27929671,2.366025152,0.759082014,0.675902236,1.079490088,7.209907957,5.411034717,1.660045528,0.725870315,0.589362125,Sales,1
